84-121123-0000 去吧，你听到了吗
84-121123-0001 但不到五分钟，楼梯在一个巨大的重量下发出了呻吟声
84-121123-0002 此刻老人的整个灵魂似乎都集中在他的眼睛里，眼睛变得布满血丝，喉咙的血管肿胀，脸颊和太阳穴变得紫红，仿佛他被癫痫击中，只差一声叫喊就能完成这一切
84-121123-0003 而这叫喊从他的毛孔中发出，如果我们可以这样说，一种在沉默中令人恐惧的叫喊
84-121123-0004 达夫里尼冲向老人，让他吸入一种强效的兴奋剂
84-121123-0005 达夫里尼无法忍受这令人感动的情绪，转过身去，而维尔福没有寻求任何进一步的解释，被那种不可抗拒的磁力吸引，这种磁力吸引我们靠近那些爱我们所哀悼的人，他向年轻人伸出了手
84-121123-0006 一段时间内，那房间里只听到了啜泣、惊叹和祈祷声
84-121123-0007 先生，您是什么意思
84-121123-0008 哦，您在胡言乱语，先生，维尔福徒劳地试图摆脱他陷入的网络时惊叫道，我在胡言乱语
84-121123-0009 您知道凶手吗，莫雷尔问道
84-121123-0010 诺蒂埃用那种常常让瓦伦丁感到幸福的忧郁微笑看着莫雷尔，从而吸引了他的注意
84-121123-0011 莫雷尔悲伤地说道，诺蒂埃回答是
84-121123-0012 老人的眼睛仍然盯着门
84-121123-0013 莫雷尔问道，是的
84-121123-0014 我必须独自离开吗，不
84-121123-0015 但他能理解你吗，是的
84-121123-0016 先生们，他用嘶哑的声音说，给我你们的荣誉誓言，这个可怕的秘密将永远埋藏在我们之间，两个人后退了
84-121123-0017 我父亲已经揭示了犯罪者的名字，我父亲和你们一样渴望复仇，然而即使是他也像我一样恳求你们保守这个秘密，是吗，父亲
84-121123-0018 莫雷尔不禁发出了一声惊恐和惊讶的叫喊
84-121123-0019 老人做了一个肯定的手势
84-121123-0020 目睹诺蒂埃的沉默痛苦、无声绝望是件可怕的事，他的泪水默默地顺着脸颊流下
84-121123-0021 但他在楼梯平台上停了下来，他没有勇气再次访问那个死亡的房间
84-121123-0022 因此两位医生独自进入了房间
84-121123-0023 诺蒂埃在床边，苍白、一动不动，如同尸体般沉默
84-121123-0024 区域医生带着一个习惯于将一半时间花在死者中间的人的冷漠走近，然后掀起盖在脸上的床单，略微打开了嘴唇
84-121123-0025 最近的，区域医生说，是一位住在您隔壁的优秀意大利修道院院长，我经过时要去叫他吗
84-121123-0026 达夫里尼，维尔福说，我恳求您，请好心陪伴这位先生，这是门钥匙，这样您可以随意进出，您会带着神父来，并帮我把他引荐到我孩子的房间，您想见他吗
84-121123-0027 我只想独处，您会原谅我，不是吗
84-121123-0028 我要走了，先生，我毫不犹豫地说，没有任何祈祷会比我的更加热诚
